"",".id","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"112","station","113","Columbus Circle / Union Station","31623","1395844261960","38.89696","-77.00493","true","false","1285905600000","false","true","19","9","1395844019786"
"113","station","114","North Capitol St & F St NW","31624","1395844212834","38.897446","-77.009888","true","false","1288122720000","false","true","14","9","1395842867300"
"114","station","115","11th & M St NW","31266","1395844300254","38.905607","-77.027137","true","false","1364995680000","false","true","6","13","1395842110170"
"115","station","116","36th & Calvert St NW / Glover Park","31304","1395844246787","38.922581","-77.070334","true","false","1289236620000","false","true","8","7","1395838361198"
"116","station","117","14th & G St NW","31238","1395844163800","38.898069","-77.031823","true","false","1289237340000","false","true","22","1","1395842954842"
"117","station","118","Potomac Ave & 35th St S","31052","1395844308832","38.844015","-77.050537","true","false","1351092960000","false","true","7","15","1395831803475"
"118","station","124","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","31240","1395844275403","38.88412","-77.04657","true","false","1331904960000","false","true","5","18","1395838284173"
"119","station","125","11th & F St NW","31262","1395844132492","38.897857","-77.026975","true","false","1359981840000","false","true","7","8","1395839057305"
"120","station","126","23rd & E St NW ","31260","1395844143789","38.896104","-77.049882","true","false","1359652440000","false","true","10","9","1395842920932"
"121","station","127","Lynn & 19th St North","31014","1395844305156","38.897315","-77.070993","true","false","1302957060000","false","true","11","8","1395841130437"
"122","station","128","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","31015","1395844217137","38.8946","-77.072305","true","false","1302957120000","false","true","9","6","1395840711301"
"123","station","129","Clarendon Blvd & Pierce St","31016","1395844207737","38.893648","-77.076701","true","false","1302957960000","false","true","4","7","1395840719660"
"124","station","130","Court House Metro / Wilson Blvd & N Uhle St","31017","1395844149459","38.891696","-77.0846","true","false","1320933600000","false","true","7","8","1395840724769"
